index,CountryCode,SeriesCode,DESCRIPTION,Unnamed: 3
0,ABW,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
1,ABW,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014),
2,ABW,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014),
3,ABW,IT.CEL.SETS,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
4,ABW,IT.CEL.SETS.P2,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
5,ABW,IT.MLT.MAIN,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
6,ABW,IT.MLT.MAIN.P2,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
7,ABW,IT.NET.BBND,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
8,ABW,IT.NET.BBND.P2,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
9,ABW,IT.NET.USER.ZS,Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba,
10,ABW,SM.POP.NETM,Data sources : United Nations World Population Prospects,
11,ABW,SM.POP.TOTL,Estimates are derived from data on foreign-born population. ,
12,ABW,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
13,ABW,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
14,ABW,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
15,ABW,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
16,ABW,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
17,ABW,SP.DYN.LE00.IN,Derived using male and female life expectancy,
18,ABW,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
19,ABW,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
20,ABW,SP.POP.GROW,Data sources: United Nations World Population Prospects,
21,ABW,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
22,AFG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2015 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief.,
23,AFG,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
24,AFG,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014),
25,AFG,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014),
26,AFG,IT.CEL.SETS,Ministry of Communications. Ministry of Communications & Information Technology,
27,AFG,IT.CEL.SETS.P2,Ministry of Communications. Ministry of Communications & Information Technology,
28,AFG,IT.MLT.MAIN,Ministry of Communications. Ministry of Communications & Information Technology,
29,AFG,IT.MLT.MAIN.P2,Ministry of Communications. Ministry of Communications & Information Technology,
30,AFG,IT.NET.BBND,Ministry of Communications. Ministry of Communications & Information Technology,
31,AFG,IT.NET.BBND.P2,Ministry of Communications. Ministry of Communications & Information Technology,
32,AFG,IT.NET.USER.ZS,Ministry of Communications. Ministry of Communications & Information Technology,
33,AFG,NE.CON.PRVT.PP.CD,Estimates are based on regression.,
34,AFG,NE.CON.PRVT.PP.KD,Estimates are based on regression.,
35,AFG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.,
36,AFG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.,
37,AFG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.,
38,AFG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.,
39,AFG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.,
40,AFG,NY.GNP.MKTP.PP.KD,Estimates are based on regression.,
41,AFG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.,
42,AFG,NY.GNP.PCAP.PP.KD,Estimates are based on regression.,
43,AFG,PA.NUS.PPP,Estimates are based on regression.,
44,AFG,PA.NUS.PPPC.RF,Estimates are based on regression.,
45,AFG,PA.NUS.PRVT.PP,Estimates are based on regression.,
46,AFG,SH.XPD.EXTR.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
47,AFG,SH.XPD.OOPC.TO.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
48,AFG,SH.XPD.OOPC.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
49,AFG,SH.XPD.PCAP,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
50,AFG,SH.XPD.PCAP.PP.KD,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
51,AFG,SH.XPD.PRIV.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
52,AFG,SH.XPD.PUBL,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
53,AFG,SH.XPD.PUBL.GX.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
54,AFG,SH.XPD.PUBL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
55,AFG,SH.XPD.TOTL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. ,
56,AFG,SM.POP.NETM,Data sources : United Nations World Population Prospects,
57,AFG,SM.POP.TOTL,Estimates are derived from data on foreign-born population. ,
58,AFG,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
59,AFG,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
60,AFG,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
61,AFG,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
62,AFG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
63,AFG,SP.DYN.LE00.IN,Derived using male and female life expectancy,
